"ID","run","bio_project","bio_sample","avg_spot_len","bases","bytes","center_name","experiment","instrument","library_name","library_layout","library_selection","library_source","organism","platform","release_date","create_date","version","sample_name","sra_study","bio_sample_model","collection_date","geo_loc_name_country","geo_loc_name_country_continent","geo_loc_name","host","isolate","serotype","source_file_fasta"
1,"SRR28752446","PRJNA1102327","SAMN41019184",292,"93.61 M","28.68 Mb","USDA-NVSL","SRX24318198","Illumina iSeq 100","24-008354-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-008354-001-original","SRP503016","Viral",2024,"USA","North America","USA","Blackbird","24-008354-001-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752446.fasta.gz"
2,"SRR28752447","PRJNA1102327","SAMN41019237",482,"86.08 M","26.86 Mb","USDA-NVSL","SRX24318197","Illumina MiSeq","24-009108-005-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009108-005-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009108-005-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752447.fasta.gz"
3,"SRR28752448","PRJNA1102327","SAMN41019236",500,"75.04 M","23.41 Mb","USDA-NVSL","SRX24318196","Illumina MiSeq","24-009108-004-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009108-004-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009108-004-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752448.fasta.gz"
4,"SRR28752449","PRJNA1102327","SAMN41019235",293,"59.36 M","18.77 Mb","USDA-NVSL","SRX24318195","Illumina iSeq 100","24-009108-003-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009108-003-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009108-003-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752449.fasta.gz"
5,"SRR28752450","PRJNA1102327","SAMN41019234",502,"119.23 M","37.05 Mb","USDA-NVSL","SRX24318194","Illumina MiSeq","24-009108-002-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009108-002-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009108-002-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752450.fasta.gz"
6,"SRR28752451","PRJNA1102327","SAMN41019233",293,"64.39 M","20.20 Mb","USDA-NVSL","SRX24318193","Illumina iSeq 100","24-009108-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009108-001-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009108-001-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752451.fasta.gz"
7,"SRR28752452","PRJNA1102327","SAMN41019232",288,"41.34 M","13.67 Mb","USDA-NVSL","SRX24318192","Illumina iSeq 100","24-009088-002-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009088-002-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009088-002-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752452.fasta.gz"
8,"SRR28752453","PRJNA1102327","SAMN41019231",289,"37.06 M","12.34 Mb","USDA-NVSL","SRX24318191","Illumina iSeq 100","24-009088-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009088-001-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009088-001-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752453.fasta.gz"
9,"SRR28752454","PRJNA1102327","SAMN41019230",495,"77.48 M","24.17 Mb","USDA-NVSL","SRX24318190","Illumina MiSeq","24-009087-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009087-001-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009087-001-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752454.fasta.gz"
10,"SRR28752455","PRJNA1102327","SAMN41019229",295,"63.69 M","19.00 Mb","USDA-NVSL","SRX24318189","Illumina iSeq 100","24-009029-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009029-001-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009029-001-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752455.fasta.gz"
11,"SRR28752456","PRJNA1102327","SAMN41019228",502,"52.18 M","16.51 Mb","USDA-NVSL","SRX24318188","Illumina MiSeq","24-009028-019-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009028-019-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009028-019-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752456.fasta.gz"
12,"SRR28752457","PRJNA1102327","SAMN41019183",437,"47.94 M","27.58 Mb","USDA-NVSL","SRX24318187","Illumina MiSeq","24-007264-003-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-007264-003-original","SRP503016","Viral",2024,"USA","North America","USA","Chicken","24-007264-003-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752457.fasta.gz"
13,"SRR28752458","PRJNA1102327","SAMN41019227",294,"62.89 M","20.04 Mb","USDA-NVSL","SRX24318186","Illumina iSeq 100","24-009028-009-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009028-009-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009028-009-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752458.fasta.gz"
14,"SRR28752459","PRJNA1102327","SAMN41019226",293,"74.78 M","23.61 Mb","USDA-NVSL","SRX24318185","Illumina iSeq 100","24-009028-008-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-009028-008-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009028-008-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752459.fasta.gz"
15,"SRR28752460","PRJNA1102327","SAMN41019225",293,"37.21 M","11.92 Mb","USDA-NVSL","SRX24318184","Illumina iSeq 100","24-009028-007-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-009028-007-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009028-007-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752460.fasta.gz"
16,"SRR28752461","PRJNA1102327","SAMN41019224",480,"77.38 M","24.17 Mb","USDA-NVSL","SRX24318183","Illumina MiSeq","24-009028-005-original-repeat","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009028-005-original-repeat","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009028-005-original-repeat","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752461.fasta.gz"
17,"SRR28752462","PRJNA1102327","SAMN41019223",294,"44.85 M","14.29 Mb","USDA-NVSL","SRX24318182","Illumina iSeq 100","24-009028-003-original-MTM","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-009028-003-original-MTM","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009028-003-original-MTM","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752462.fasta.gz"
18,"SRR28752463","PRJNA1102327","SAMN41019222",293,"54.80 M","16.65 Mb","USDA-NVSL","SRX24318181","Illumina iSeq 100","24-009028-002-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-009028-002-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009028-002-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752463.fasta.gz"
19,"SRR28752464","PRJNA1102327","SAMN41019221",293,"33.07 M","10.22 Mb","USDA-NVSL","SRX24318180","Illumina iSeq 100","24-009028-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009028-001-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009028-001-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752464.fasta.gz"
